I follow a keto diet. Today for breakfast I had 4 fl oz of Garden Salad (Calories: 120, Protein: 4g, Fat: 5g, Carbs: 15g, Sugar: 3g, Sodium: 180mg), for lunch I had 3 fl oz of Hash Browns (Calories: 180, Protein: 3g, Fat: 10g, Carbs: 18g, Sugar: 1g, Sodium: 280mg), for dinner I had 4 fl oz of Caesar Salad (Calories: 200, Protein: 7g, Fat: 14g, Carbs: 10g, Sugar: 2g, Sodium: 400mg), and additionally for a snack I had 4 fl oz of Caesar Salad (Calories: 200, Protein: 7g, Fat: 14g, Carbs: 10g, Sugar: 2g, Sodium: 400mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a vegan diet. Today for breakfast I had 3 fl oz of Hash Browns (Calories: 180, Protein: 3g, Fat: 10g, Carbs: 18g, Sugar: 1g, Sodium: 280mg), for lunch I had 3 fl oz of Hash Browns (Calories: 180, Protein: 3g, Fat: 10g, Carbs: 18g, Sugar: 1g, Sodium: 280mg), for dinner I had 6 fl oz of Lentil Soup (Calories: 220, Protein: 12g, Fat: 4g, Carbs: 35g, Sugar: 5g, Sodium: 480mg), and additionally for a snack I had 5 fl oz of Tofu Stir-Fry (Calories: 280, Protein: 18g, Fat: 8g, Carbs: 36g, Sugar: 4g, Sodium: 520mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a vegan diet. Today for breakfast I had 5 fl oz of Tofu Stir-Fry (Calories: 280, Protein: 18g, Fat: 8g, Carbs: 36g, Sugar: 4g, Sodium: 520mg), for lunch I had 4 fl oz of Falafel Plate (Calories: 300, Protein: 13g, Fat: 12g, Carbs: 38g, Sugar: 4g, Sodium: 500mg), for dinner I had 4 fl oz of Avocado Toast (Calories: 200, Protein: 5g, Fat: 10g, Carbs: 22g, Sugar: 2g, Sodium: 220mg), and additionally for a snack I had 6 fl oz of Veggie Burger (Calories: 320, Protein: 18g, Fat: 10g, Carbs: 38g, Sugar: 5g, Sodium: 600mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a lactose-intolerant diet. Today for breakfast I had 4 fl oz of Hummus & Pita (Calories: 260, Protein: 10g, Fat: 10g, Carbs: 32g, Sugar: 2g, Sodium: 400mg), for lunch I had 5 fl oz of Salmon Salad (Calories: 300, Protein: 25g, Fat: 14g, Carbs: 15g, Sugar: 3g, Sodium: 520mg), for dinner I had 4 fl oz of Shrimp Scampi (Calories: 380, Protein: 30g, Fat: 18g, Carbs: 20g, Sugar: 2g, Sodium: 650mg), and additionally for a snack I had 4 fl oz of Garden Salad (Calories: 120, Protein: 4g, Fat: 5g, Carbs: 15g, Sugar: 3g, Sodium: 180mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a paleo diet. Today for breakfast I had 4 fl oz of Greek Yogurt (Calories: 130, Protein: 23g, Fat: 0g, Carbs: 9g, Sugar: 7g, Sodium: 50mg), for lunch I had 4 fl oz of Muffin (Blueberry) (Calories: 210, Protein: 4g, Fat: 7g, Carbs: 34g, Sugar: 16g, Sodium: 250mg), for dinner I had 4 fl oz of Oatmeal (with Water) (Calories: 150, Protein: 5g, Fat: 3g, Carbs: 27g, Sugar: 1g, Sodium: 120mg), and additionally for a snack I had 5 fl oz of Beef Tacos (Calories: 420, Protein: 25g, Fat: 18g, Carbs: 40g, Sugar: 4g, Sodium: 650mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a omnivore diet. Today for breakfast I had 4 fl oz of French Toast (Calories: 250, Protein: 9g, Fat: 8g, Carbs: 37g, Sugar: 8g, Sodium: 380mg), for lunch I had 5 fl oz of BBQ Pork Ribs (Calories: 550, Protein: 40g, Fat: 25g, Carbs: 30g, Sugar: 12g, Sodium: 900mg), for dinner I had 5 fl oz of Chicken Parmesan (Calories: 480, Protein: 35g, Fat: 20g, Carbs: 40g, Sugar: 5g, Sodium: 780mg), and additionally for a snack I had 4 fl oz of French Toast (Calories: 250, Protein: 9g, Fat: 8g, Carbs: 37g, Sugar: 8g, Sodium: 380mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a vegan diet. Today for breakfast I had 6 fl oz of Smoothie (Mixed Fruit) (Calories: 180, Protein: 5g, Fat: 2g, Carbs: 35g, Sugar: 25g, Sodium: 60mg), for lunch I had 4 fl oz of Roasted Vegetables (Calories: 160, Protein: 4g, Fat: 8g, Carbs: 20g, Sugar: 5g, Sodium: 240mg), for dinner I had 4 fl oz of Hummus & Pita (Calories: 260, Protein: 10g, Fat: 10g, Carbs: 32g, Sugar: 2g, Sodium: 400mg), and additionally for a snack I had 4 fl oz of French Fries (Calories: 300, Protein: 4g, Fat: 14g, Carbs: 40g, Sugar: 0g, Sodium: 400mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a paleo diet. Today for breakfast I had 4 fl oz of Protein Shake (Calories: 220, Protein: 25g, Fat: 3g, Carbs: 26g, Sugar: 5g, Sodium: 140mg), for lunch I had 5 fl oz of Breakfast Burrito (Calories: 350, Protein: 18g, Fat: 15g, Carbs: 36g, Sugar: 3g, Sodium: 650mg), for dinner I had 6 fl oz of Veggie Burger (Calories: 320, Protein: 18g, Fat: 10g, Carbs: 38g, Sugar: 5g, Sodium: 600mg), and additionally for a snack I had 4 fl oz of Scrambled Eggs (Calories: 180, Protein: 12g, Fat: 12g, Carbs: 2g, Sugar: 1g, Sodium: 150mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a pescatarian diet. Today for breakfast I had 5 fl oz of Salmon Salad (Calories: 300, Protein: 25g, Fat: 14g, Carbs: 15g, Sugar: 3g, Sodium: 520mg), for lunch I had 5 fl oz of Grilled Salmon (Calories: 350, Protein: 35g, Fat: 18g, Carbs: 2g, Sugar: 0g, Sodium: 500mg), for dinner I had 5 fl oz of Tuna Wrap (Calories: 340, Protein: 22g, Fat: 14g, Carbs: 32g, Sugar: 3g, Sodium: 650mg), and additionally for a snack I had 5 fl oz of Grilled Salmon (Calories: 350, Protein: 35g, Fat: 18g, Carbs: 2g, Sugar: 0g, Sodium: 500mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a diabetic-friendly diet. Today for breakfast I had 2 fl oz of Hard-Boiled Eggs (Calories: 80, Protein: 7g, Fat: 5g, Carbs: 1g, Sugar: 1g, Sodium: 100mg), for lunch I had 4 fl oz of Caesar Salad (Calories: 200, Protein: 7g, Fat: 14g, Carbs: 10g, Sugar: 2g, Sodium: 400mg), for dinner I had 4 fl oz of Shrimp Scampi (Calories: 380, Protein: 30g, Fat: 18g, Carbs: 20g, Sugar: 2g, Sodium: 650mg), and additionally for a snack I had 4 fl oz of Falafel Plate (Calories: 300, Protein: 13g, Fat: 12g, Carbs: 38g, Sugar: 4g, Sodium: 500mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
I follow a vegetarian diet. Today for breakfast I had 4 fl oz of Protein Shake (Calories: 220, Protein: 25g, Fat: 3g, Carbs: 26g, Sugar: 5g, Sodium: 140mg), for lunch I had 5 fl oz of Veggie Lasagna (Calories: 320, Protein: 15g, Fat: 10g, Carbs: 42g, Sugar: 6g, Sodium: 550mg), for dinner I had 4 fl oz of Oatmeal (with Water) (Calories: 150, Protein: 5g, Fat: 3g, Carbs: 27g, Sugar: 1g, Sodium: 120mg), and additionally for a snack I had 4 fl oz of Falafel Plate (Calories: 300, Protein: 13g, Fat: 12g, Carbs: 38g, Sugar: 4g, Sodium: 500mg). I track my meals carefully to meet my nutritional needs and respect my restrictions.
